"","ref_date","geo","value","business_characteristics"
"137","2020","Saskatchewan",25.1,"Finance and insurance [52]"
"138","2020","Saskatchewan",24.3,"Real estate and rental and leasing [53]"
"139","2020","Saskatchewan",11.3,"Professional, scientific and technical services [54]"
"140","2020","Saskatchewan",21.8,"Administrative and support, waste management and remediation services [56]"
"141","2020","Saskatchewan",24.7,"Health care and social assistance [62]"
"142","2020","Saskatchewan",28.4,"Arts, entertainment and recreation [71]"
"143","2020","Saskatchewan",17,"Accommodation and food services [72]"
"144","2020","Saskatchewan",20.7,"Other services (except public administration) [81]"
"145","2020","Alberta",10.8,"Agriculture, forestry, fishing and hunting [11]"
"146","2020","Alberta",18,"Mining, quarrying, and oil and gas extraction [21]"
"147","2020","Alberta",20,"Construction [23]"
"148","2020","Alberta",17.7,"Manufacturing [31-33]"
"149","2020","Alberta",21.7,"Wholesale trade [41]"
"150","2020","Alberta",16.6,"Retail trade [44-45]"
"151","2020","Alberta",24.6,"Transportation and warehousing [48-49]"
"152","2020","Alberta",28.7,"Information and cultural industries [51]"
"153","2020","Alberta",26,"Finance and insurance [52]"
"154","2020","Alberta",22.3,"Real estate and rental and leasing [53]"
"155","2020","Alberta",13.3,"Professional, scientific and technical services [54]"
"156","2020","Alberta",23,"Administrative and support, waste management and remediation services [56]"
"157","2020","Alberta",20.1,"Health care and social assistance [62]"
"158","2020","Alberta",8.1,"Arts, entertainment and recreation [71]"
"159","2020","Alberta",22.5,"Accommodation and food services [72]"
"160","2020","Alberta",16.9,"Other services (except public administration) [81]"
"161","2020","British Columbia",12.6,"Agriculture, forestry, fishing and hunting [11]"
"162","2020","British Columbia",19.5,"Mining, quarrying, and oil and gas extraction [21]"
"163","2020","British Columbia",20.4,"Construction [23]"
"164","2020","British Columbia",21.1,"Manufacturing [31-33]"
"165","2020","British Columbia",27.2,"Wholesale trade [41]"
"166","2020","British Columbia",22.8,"Retail trade [44-45]"
"167","2020","British Columbia",24.6,"Transportation and warehousing [48-49]"
"168","2020","British Columbia",23.4,"Information and cultural industries [51]"
"169","2020","British Columbia",19.5,"Finance and insurance [52]"
"170","2020","British Columbia",14.8,"Real estate and rental and leasing [53]"
"171","2020","British Columbia",20.8,"Professional, scientific and technical services [54]"
"172","2020","British Columbia",23.4,"Administrative and support, waste management and remediation services [56]"
"173","2020","British Columbia",32.9,"Health care and social assistance [62]"
"174","2020","British Columbia",19,"Arts, entertainment and recreation [71]"
"175","2020","British Columbia",21.5,"Accommodation and food services [72]"
"176","2020","British Columbia",15.6,"Other services (except public administration) [81]"
"177","2020","Yukon",0,"Agriculture, forestry, fishing and hunting [11]"
"178","2020","Yukon",22.5,"Mining, quarrying, and oil and gas extraction [21]"
"179","2020","Yukon",12.8,"Construction [23]"
"180","2020","Yukon",13,"Manufacturing [31-33]"
"181","2020","Yukon",5.1,"Wholesale trade [41]"
"182","2020","Yukon",44.6,"Retail trade [44-45]"
"183","2020","Yukon",0,"Transportation and warehousing [48-49]"
"184","2020","Yukon",19.7,"Information and cultural industries [51]"
"185","2020","Yukon",23,"Finance and insurance [52]"
"186","2020","Yukon",27.5,"Real estate and rental and leasing [53]"
"187","2020","Yukon",14.2,"Professional, scientific and technical services [54]"
"188","2020","Yukon",15.5,"Administrative and support, waste management and remediation services [56]"
"189","2020","Yukon",17.9,"Health care and social assistance [62]"
"190","2020","Yukon",9.7,"Arts, entertainment and recreation [71]"
"191","2020","Yukon",7.7,"Accommodation and food services [72]"
"192","2020","Yukon",23.6,"Other services (except public administration) [81]"
"193","2020","Northwest Territories",0,"Agriculture, forestry, fishing and hunting [11]"
"194","2020","Northwest Territories",25.4,"Mining, quarrying, and oil and gas extraction [21]"
"195","2020","Northwest Territories",10.4,"Construction [23]"
"196","2020","Northwest Territories",0,"Manufacturing [31-33]"
"197","2020","Northwest Territories",24.3,"Wholesale trade [41]"
"198","2020","Northwest Territories",32.4,"Retail trade [44-45]"
