"","ref_date","financial_market_statistics","value"
"276",2010-05-16,"Target rate",0
"277",2010-05-17,"Real return benchmark bond yield, long term",1.488
"278",2010-05-17,"Target rate",0.25
"279",2010-05-18,"Real return benchmark bond yield, long term",1.426
"280",2010-05-18,"Target rate",0.25
"281",2010-05-19,"Real return benchmark bond yield, long term",1.424
"282",2010-05-19,"Target rate",0.25
"283",2010-05-20,"Real return benchmark bond yield, long term",1.478
"284",2010-05-20,"Target rate",0.25
"285",2010-05-21,"Real return benchmark bond yield, long term",1.494
"286",2010-05-21,"Target rate",0.25
"287",2010-05-22,"Real return benchmark bond yield, long term",0
"288",2010-05-22,"Target rate",0
"289",2010-05-23,"Real return benchmark bond yield, long term",0
"290",2010-05-23,"Target rate",0
"291",2010-05-24,"Real return benchmark bond yield, long term",NA
"292",2010-05-24,"Target rate",0.25
"293",2010-05-25,"Real return benchmark bond yield, long term",1.455
"294",2010-05-25,"Target rate",0.25
"295",2010-05-26,"Real return benchmark bond yield, long term",1.435
"296",2010-05-26,"Target rate",0.25
"297",2010-05-27,"Real return benchmark bond yield, long term",1.448
"298",2010-05-27,"Target rate",0.25
"299",2010-05-28,"Real return benchmark bond yield, long term",1.431
"300",2010-05-28,"Target rate",0.25
"301",2010-05-29,"Real return benchmark bond yield, long term",0
"302",2010-05-29,"Target rate",0
"303",2010-05-30,"Real return benchmark bond yield, long term",0
"304",2010-05-30,"Target rate",0
"305",2010-05-31,"Real return benchmark bond yield, long term",1.447
"306",2010-05-31,"Target rate",0.25
"307",2010-06-01,"Real return benchmark bond yield, long term",1.44
"308",2010-06-01,"Target rate",0.5
"309",2010-06-02,"Real return benchmark bond yield, long term",1.474
"310",2010-06-02,"Target rate",0.5
"311",2010-06-03,"Real return benchmark bond yield, long term",1.475
"312",2010-06-03,"Target rate",0.5
"313",2010-06-04,"Real return benchmark bond yield, long term",1.441
"314",2010-06-04,"Target rate",0.5
"315",2010-06-05,"Real return benchmark bond yield, long term",0
"316",2010-06-05,"Target rate",0
"317",2010-06-06,"Real return benchmark bond yield, long term",0
"318",2010-06-06,"Target rate",0
"319",2010-06-07,"Real return benchmark bond yield, long term",1.445
"320",2010-06-07,"Target rate",0.5
"321",2010-06-08,"Real return benchmark bond yield, long term",1.479
"322",2010-06-08,"Target rate",0.5
"323",2010-06-09,"Real return benchmark bond yield, long term",1.484
"324",2010-06-09,"Target rate",0.5
"325",2010-06-10,"Real return benchmark bond yield, long term",1.541
"326",2010-06-10,"Target rate",0.5
"327",2010-06-11,"Real return benchmark bond yield, long term",1.533
"328",2010-06-11,"Target rate",0.5
"329",2010-06-12,"Real return benchmark bond yield, long term",0
"330",2010-06-12,"Target rate",0
"331",2010-06-13,"Real return benchmark bond yield, long term",0
"332",2010-06-13,"Target rate",0
"333",2010-06-14,"Real return benchmark bond yield, long term",1.548
"334",2010-06-14,"Target rate",0.5
"335",2010-06-15,"Real return benchmark bond yield, long term",1.526
"336",2010-06-15,"Target rate",0.5
"337",2010-06-16,"Real return benchmark bond yield, long term",1.488
"338",2010-06-16,"Target rate",0.5
"339",2010-06-17,"Real return benchmark bond yield, long term",1.455
"340",2010-06-17,"Target rate",0.5
"341",2010-06-18,"Real return benchmark bond yield, long term",1.464
"342",2010-06-18,"Target rate",0.5
"343",2010-06-19,"Real return benchmark bond yield, long term",0
"344",2010-06-19,"Target rate",0
"345",2010-06-20,"Real return benchmark bond yield, long term",0
"346",2010-06-20,"Target rate",0
"347",2010-06-21,"Real return benchmark bond yield, long term",1.453
"348",2010-06-21,"Target rate",0.5
"349",2010-06-22,"Real return benchmark bond yield, long term",1.411
"350",2010-06-22,"Target rate",0.5
"351",2010-06-23,"Real return benchmark bond yield, long term",1.426
"352",2010-06-23,"Target rate",0.5
"353",2010-06-24,"Real return benchmark bond yield, long term",1.44
"354",2010-06-24,"Target rate",0.5
"355",2010-06-25,"Real return benchmark bond yield, long term",1.419
