"","ref_date","financial_market_statistics","value"
"3461",2014-09-25,"Real return benchmark bond yield, long term",0.701
"3462",2014-09-25,"Target rate",1
"3463",2014-09-26,"Real return benchmark bond yield, long term",0.708
"3464",2014-09-26,"Target rate",1
"3465",2014-09-27,"Real return benchmark bond yield, long term",0
"3466",2014-09-27,"Target rate",0
"3467",2014-09-28,"Real return benchmark bond yield, long term",0
"3468",2014-09-28,"Target rate",0
"3469",2014-09-29,"Real return benchmark bond yield, long term",0.685
"3470",2014-09-29,"Target rate",1
"3471",2014-09-30,"Real return benchmark bond yield, long term",0.708
"3472",2014-09-30,"Target rate",1
"3473",2014-10-01,"Real return benchmark bond yield, long term",0.638
"3474",2014-10-01,"Target rate",1
"3475",2014-10-02,"Real return benchmark bond yield, long term",0.666
"3476",2014-10-02,"Target rate",1
"3477",2014-10-03,"Real return benchmark bond yield, long term",0.655
"3478",2014-10-03,"Target rate",1
"3479",2014-10-04,"Real return benchmark bond yield, long term",0
"3480",2014-10-04,"Target rate",0
"3481",2014-10-05,"Real return benchmark bond yield, long term",0
"3482",2014-10-05,"Target rate",0
"3483",2014-10-06,"Real return benchmark bond yield, long term",0.641
"3484",2014-10-06,"Target rate",1
"3485",2014-10-07,"Real return benchmark bond yield, long term",0.604
"3486",2014-10-07,"Target rate",1
"3487",2014-10-08,"Real return benchmark bond yield, long term",0.616
"3488",2014-10-08,"Target rate",1
"3489",2014-10-09,"Real return benchmark bond yield, long term",0.629
"3490",2014-10-09,"Target rate",1
"3491",2014-10-10,"Real return benchmark bond yield, long term",0.609
"3492",2014-10-10,"Target rate",1
"3493",2014-10-11,"Real return benchmark bond yield, long term",0
"3494",2014-10-11,"Target rate",0
"3495",2014-10-12,"Real return benchmark bond yield, long term",0
"3496",2014-10-12,"Target rate",0
"3497",2014-10-13,"Real return benchmark bond yield, long term",NA
"3498",2014-10-13,"Target rate",1
"3499",2014-10-14,"Real return benchmark bond yield, long term",0.573
"3500",2014-10-14,"Target rate",1
"3501",2014-10-15,"Real return benchmark bond yield, long term",0.562
"3502",2014-10-15,"Target rate",1
"3503",2014-10-16,"Real return benchmark bond yield, long term",0.579
"3504",2014-10-16,"Target rate",1
"3505",2014-10-17,"Real return benchmark bond yield, long term",0.584
"3506",2014-10-17,"Target rate",1
"3507",2014-10-18,"Real return benchmark bond yield, long term",0
"3508",2014-10-18,"Target rate",0
"3509",2014-10-19,"Real return benchmark bond yield, long term",0
"3510",2014-10-19,"Target rate",0
"3511",2014-10-20,"Real return benchmark bond yield, long term",0.584
"3512",2014-10-20,"Target rate",1
"3513",2014-10-21,"Real return benchmark bond yield, long term",0.591
"3514",2014-10-21,"Target rate",1
"3515",2014-10-22,"Real return benchmark bond yield, long term",0.62
"3516",2014-10-22,"Target rate",1
"3517",2014-10-23,"Real return benchmark bond yield, long term",0.638
"3518",2014-10-23,"Target rate",1
"3519",2014-10-24,"Real return benchmark bond yield, long term",0.644
"3520",2014-10-24,"Target rate",1
"3521",2014-10-25,"Real return benchmark bond yield, long term",0
"3522",2014-10-25,"Target rate",0
"3523",2014-10-26,"Real return benchmark bond yield, long term",0
"3524",2014-10-26,"Target rate",0
"3525",2014-10-27,"Real return benchmark bond yield, long term",0.647
"3526",2014-10-27,"Target rate",1
"3527",2014-10-28,"Real return benchmark bond yield, long term",0.673
"3528",2014-10-28,"Target rate",1
"3529",2014-10-29,"Real return benchmark bond yield, long term",0.68
"3530",2014-10-29,"Target rate",1
"3531",2014-10-30,"Real return benchmark bond yield, long term",0.68
"3532",2014-10-30,"Target rate",1
"3533",2014-10-31,"Real return benchmark bond yield, long term",0.677
"3534",2014-10-31,"Target rate",1
"3535",2014-11-01,"Real return benchmark bond yield, long term",0
"3536",2014-11-01,"Target rate",0
"3537",2014-11-02,"Real return benchmark bond yield, long term",0
"3538",2014-11-02,"Target rate",0
"3539",2014-11-03,"Real return benchmark bond yield, long term",0.673
"3540",2014-11-03,"Target rate",1
"3541",2014-11-04,"Real return benchmark bond yield, long term",0.67
"3542",2014-11-04,"Target rate",1
"3543",2014-11-05,"Real return benchmark bond yield, long term",0.689
"3544",2014-11-05,"Target rate",1
"3545",2014-11-06,"Real return benchmark bond yield, long term",0.723
"3546",2014-11-06,"Target rate",1
"3547",2014-11-07,"Real return benchmark bond yield, long term",0.682
"3548",2014-11-07,"Target rate",1
"3549",2014-11-08,"Real return benchmark bond yield, long term",0
"3550",2014-11-08,"Target rate",0
"3551",2014-11-09,"Real return benchmark bond yield, long term",0
"3552",2014-11-09,"Target rate",0
"3553",2014-11-10,"Real return benchmark bond yield, long term",0.702
"3554",2014-11-10,"Target rate",1
"3555",2014-11-11,"Real return benchmark bond yield, long term",NA
"3556",2014-11-11,"Target rate",1
"3557",2014-11-12,"Real return benchmark bond yield, long term",0.708
"3558",2014-11-12,"Target rate",1
"3559",2014-11-13,"Real return benchmark bond yield, long term",0.727
"3560",2014-11-13,"Target rate",1
"3561",2014-11-14,"Real return benchmark bond yield, long term",0.699
"3562",2014-11-14,"Target rate",1
"3563",2014-11-15,"Real return benchmark bond yield, long term",0
"3564",2014-11-15,"Target rate",0
"3565",2014-11-16,"Real return benchmark bond yield, long term",0
"3566",2014-11-16,"Target rate",0
"3567",2014-11-17,"Real return benchmark bond yield, long term",0.701
"3568",2014-11-17,"Target rate",1
"3569",2014-11-18,"Real return benchmark bond yield, long term",0.69
"3570",2014-11-18,"Target rate",1
"3571",2014-11-19,"Real return benchmark bond yield, long term",0.751
"3572",2014-11-19,"Target rate",1
"3573",2014-11-20,"Real return benchmark bond yield, long term",0.72
"3574",2014-11-20,"Target rate",1
"3575",2014-11-21,"Real return benchmark bond yield, long term",0.6617
"3576",2014-11-21,"Target rate",1
"3577",2014-11-22,"Real return benchmark bond yield, long term",0
"3578",2014-11-22,"Target rate",0
"3579",2014-11-23,"Real return benchmark bond yield, long term",0
"3580",2014-11-23,"Target rate",0
"3581",2014-11-24,"Real return benchmark bond yield, long term",0.632
"3582",2014-11-24,"Target rate",1
"3583",2014-11-25,"Real return benchmark bond yield, long term",0.6125
"3584",2014-11-25,"Target rate",1
"3585",2014-11-26,"Real return benchmark bond yield, long term",0.6139
"3586",2014-11-26,"Target rate",1
"3587",2014-11-27,"Real return benchmark bond yield, long term",0.6316
"3588",2014-11-27,"Target rate",1
"3589",2014-11-28,"Real return benchmark bond yield, long term",0.5878
"3590",2014-11-28,"Target rate",1
"3591",2014-11-29,"Real return benchmark bond yield, long term",0
"3592",2014-11-29,"Target rate",0
"3593",2014-11-30,"Real return benchmark bond yield, long term",0
"3594",2014-11-30,"Target rate",0
"3595",2014-12-01,"Real return benchmark bond yield, long term",0.6036
"3596",2014-12-01,"Target rate",1
"3597",2014-12-02,"Real return benchmark bond yield, long term",0.6684
"3598",2014-12-02,"Target rate",1
"3599",2014-12-03,"Real return benchmark bond yield, long term",0.6548
"3600",2014-12-03,"Target rate",1
"3601",2014-12-04,"Real return benchmark bond yield, long term",0.632
"3602",2014-12-04,"Target rate",1
"3603",2014-12-05,"Real return benchmark bond yield, long term",0.6621
"3604",2014-12-05,"Target rate",1
"3605",2014-12-06,"Real return benchmark bond yield, long term",0
"3606",2014-12-06,"Target rate",0
"3607",2014-12-07,"Real return benchmark bond yield, long term",0
"3608",2014-12-07,"Target rate",0
"3609",2014-12-08,"Real return benchmark bond yield, long term",0.6362
"3610",2014-12-08,"Target rate",1
"3611",2014-12-09,"Real return benchmark bond yield, long term",0.631
"3612",2014-12-09,"Target rate",1
"3613",2014-12-10,"Real return benchmark bond yield, long term",0.6194
"3614",2014-12-10,"Target rate",1
"3615",2014-12-11,"Real return benchmark bond yield, long term",0.6277
"3616",2014-12-11,"Target rate",1
"3617",2014-12-12,"Real return benchmark bond yield, long term",0.5937
"3618",2014-12-12,"Target rate",1
"3619",2014-12-13,"Real return benchmark bond yield, long term",0
"3620",2014-12-13,"Target rate",0
"3621",2014-12-14,"Real return benchmark bond yield, long term",0
"3622",2014-12-14,"Target rate",0
"3623",2014-12-15,"Real return benchmark bond yield, long term",0.6096
"3624",2014-12-15,"Target rate",1
"3625",2014-12-16,"Real return benchmark bond yield, long term",0.5769
"3626",2014-12-16,"Target rate",1
"3627",2014-12-17,"Real return benchmark bond yield, long term",0.6159
"3628",2014-12-17,"Target rate",1
"3629",2014-12-18,"Real return benchmark bond yield, long term",0.6626
"3630",2014-12-18,"Target rate",1
"3631",2014-12-19,"Real return benchmark bond yield, long term",0.6326
"3632",2014-12-19,"Target rate",1
"3633",2014-12-20,"Real return benchmark bond yield, long term",0
"3634",2014-12-20,"Target rate",0
"3635",2014-12-21,"Real return benchmark bond yield, long term",0
"3636",2014-12-21,"Target rate",0
"3637",2014-12-22,"Real return benchmark bond yield, long term",0.6258
"3638",2014-12-22,"Target rate",1
"3639",2014-12-23,"Real return benchmark bond yield, long term",0.6957
"3640",2014-12-23,"Target rate",1
"3641",2014-12-24,"Real return benchmark bond yield, long term",0.7113
"3642",2014-12-24,"Target rate",1
"3643",2014-12-25,"Real return benchmark bond yield, long term",NA
"3644",2014-12-25,"Target rate",1
"3645",2014-12-26,"Real return benchmark bond yield, long term",NA
"3646",2014-12-26,"Target rate",1
"3647",2014-12-27,"Real return benchmark bond yield, long term",0
"3648",2014-12-27,"Target rate",0
"3649",2014-12-28,"Real return benchmark bond yield, long term",0
"3650",2014-12-28,"Target rate",0
"3651",2014-12-29,"Real return benchmark bond yield, long term",0.6661
"3652",2014-12-29,"Target rate",1
"3653",2014-12-30,"Real return benchmark bond yield, long term",0.6442
"3654",2014-12-30,"Target rate",1
"3655",2014-12-31,"Real return benchmark bond yield, long term",0.6211
"3656",2014-12-31,"Target rate",1
"3657",2015-01-01,"Real return benchmark bond yield, long term",NA
"3658",2015-01-01,"Target rate",1
"3659",2015-01-02,"Real return benchmark bond yield, long term",0.5843
"3660",2015-01-02,"Target rate",1
"3661",2015-01-03,"Real return benchmark bond yield, long term",0
"3662",2015-01-03,"Target rate",0
"3663",2015-01-04,"Real return benchmark bond yield, long term",0
"3664",2015-01-04,"Target rate",0
"3665",2015-01-05,"Real return benchmark bond yield, long term",0.5388
"3666",2015-01-05,"Target rate",1
"3667",2015-01-06,"Real return benchmark bond yield, long term",0.539
"3668",2015-01-06,"Target rate",1
"3669",2015-01-07,"Real return benchmark bond yield, long term",0.5451
"3670",2015-01-07,"Target rate",1
"3671",2015-01-08,"Real return benchmark bond yield, long term",0.575
"3672",2015-01-08,"Target rate",1
"3673",2015-01-09,"Real return benchmark bond yield, long term",0.5267
"3674",2015-01-09,"Target rate",1
"3675",2015-01-10,"Real return benchmark bond yield, long term",0
"3676",2015-01-10,"Target rate",0
"3677",2015-01-11,"Real return benchmark bond yield, long term",0
"3678",2015-01-11,"Target rate",0
"3679",2015-01-12,"Real return benchmark bond yield, long term",0.4886
"3680",2015-01-12,"Target rate",1
"3681",2015-01-13,"Real return benchmark bond yield, long term",0.4842
"3682",2015-01-13,"Target rate",1
"3683",2015-01-14,"Real return benchmark bond yield, long term",0.4544
"3684",2015-01-14,"Target rate",1
"3685",2015-01-15,"Real return benchmark bond yield, long term",0.3669
"3686",2015-01-15,"Target rate",1
"3687",2015-01-16,"Real return benchmark bond yield, long term",0.4075
"3688",2015-01-16,"Target rate",1
"3689",2015-01-17,"Real return benchmark bond yield, long term",0
"3690",2015-01-17,"Target rate",0
"3691",2015-01-18,"Real return benchmark bond yield, long term",0
"3692",2015-01-18,"Target rate",0
"3693",2015-01-19,"Real return benchmark bond yield, long term",0.3894
"3694",2015-01-19,"Target rate",1
"3695",2015-01-20,"Real return benchmark bond yield, long term",0.3797
"3696",2015-01-20,"Target rate",1
"3697",2015-01-21,"Real return benchmark bond yield, long term",0.3455
"3698",2015-01-21,"Target rate",0.75
"3699",2015-01-22,"Real return benchmark bond yield, long term",0.3656
"3700",2015-01-22,"Target rate",0.75
"3701",2015-01-23,"Real return benchmark bond yield, long term",0.3244
"3702",2015-01-23,"Target rate",0.75
"3703",2015-01-24,"Real return benchmark bond yield, long term",0
"3704",2015-01-24,"Target rate",0
"3705",2015-01-25,"Real return benchmark bond yield, long term",0
"3706",2015-01-25,"Target rate",0
"3707",2015-01-26,"Real return benchmark bond yield, long term",0.3333
"3708",2015-01-26,"Target rate",0.75
"3709",2015-01-27,"Real return benchmark bond yield, long term",0.2834
"3710",2015-01-27,"Target rate",0.75
"3711",2015-01-28,"Real return benchmark bond yield, long term",0.2319
"3712",2015-01-28,"Target rate",0.75
"3713",2015-01-29,"Real return benchmark bond yield, long term",0.2361
"3714",2015-01-29,"Target rate",0.75
"3715",2015-01-30,"Real return benchmark bond yield, long term",0.1079
"3716",2015-01-30,"Target rate",0.75
"3717",2015-01-31,"Real return benchmark bond yield, long term",0
"3718",2015-01-31,"Target rate",0
"3719",2015-02-01,"Real return benchmark bond yield, long term",0
"3720",2015-02-01,"Target rate",0
"3721",2015-02-02,"Real return benchmark bond yield, long term",0.0928
"3722",2015-02-02,"Target rate",0.75
"3723",2015-02-03,"Real return benchmark bond yield, long term",0.1102
"3724",2015-02-03,"Target rate",0.75
"3725",2015-02-04,"Real return benchmark bond yield, long term",0.0829
"3726",2015-02-04,"Target rate",0.75
"3727",2015-02-05,"Real return benchmark bond yield, long term",0.1424
"3728",2015-02-05,"Target rate",0.75
"3729",2015-02-06,"Real return benchmark bond yield, long term",0.1891
"3730",2015-02-06,"Target rate",0.75
"3731",2015-02-07,"Real return benchmark bond yield, long term",0
"3732",2015-02-07,"Target rate",0
"3733",2015-02-08,"Real return benchmark bond yield, long term",0
"3734",2015-02-08,"Target rate",0
"3735",2015-02-09,"Real return benchmark bond yield, long term",0.1879
"3736",2015-02-09,"Target rate",0.75
"3737",2015-02-10,"Real return benchmark bond yield, long term",0.2393
"3738",2015-02-10,"Target rate",0.75
"3739",2015-02-11,"Real return benchmark bond yield, long term",0.2416
"3740",2015-02-11,"Target rate",0.75
"3741",2015-02-12,"Real return benchmark bond yield, long term",0.2326
"3742",2015-02-12,"Target rate",0.75
"3743",2015-02-13,"Real return benchmark bond yield, long term",0.2888
"3744",2015-02-13,"Target rate",0.75
"3745",2015-02-14,"Real return benchmark bond yield, long term",0
"3746",2015-02-14,"Target rate",0
"3747",2015-02-15,"Real return benchmark bond yield, long term",0
"3748",2015-02-15,"Target rate",0
"3749",2015-02-16,"Real return benchmark bond yield, long term",NA
"3750",2015-02-16,"Target rate",0.75
"3751",2015-02-17,"Real return benchmark bond yield, long term",0.3473
"3752",2015-02-17,"Target rate",0.75
"3753",2015-02-18,"Real return benchmark bond yield, long term",0.3241
"3754",2015-02-18,"Target rate",0.75
"3755",2015-02-19,"Real return benchmark bond yield, long term",0.3026
"3756",2015-02-19,"Target rate",0.75
"3757",2015-02-20,"Real return benchmark bond yield, long term",0.2804
"3758",2015-02-20,"Target rate",0.75
"3759",2015-02-21,"Real return benchmark bond yield, long term",0
"3760",2015-02-21,"Target rate",0
"3761",2015-02-22,"Real return benchmark bond yield, long term",0
"3762",2015-02-22,"Target rate",0
"3763",2015-02-23,"Real return benchmark bond yield, long term",0.2228
"3764",2015-02-23,"Target rate",0.75
"3765",2015-02-24,"Real return benchmark bond yield, long term",0.1541
"3766",2015-02-24,"Target rate",0.75
"3767",2015-02-25,"Real return benchmark bond yield, long term",0.1309
"3768",2015-02-25,"Target rate",0.75
"3769",2015-02-26,"Real return benchmark bond yield, long term",0.1387
"3770",2015-02-26,"Target rate",0.75
"3771",2015-02-27,"Real return benchmark bond yield, long term",0.0474
"3772",2015-02-27,"Target rate",0.75
"3773",2015-02-28,"Real return benchmark bond yield, long term",0
"3774",2015-02-28,"Target rate",0
"3775",2015-03-01,"Real return benchmark bond yield, long term",0
"3776",2015-03-01,"Target rate",0
"3777",2015-03-02,"Real return benchmark bond yield, long term",0.1203
"3778",2015-03-02,"Target rate",0.75
"3779",2015-03-03,"Real return benchmark bond yield, long term",0.1299
"3780",2015-03-03,"Target rate",0.75
"3781",2015-03-04,"Real return benchmark bond yield, long term",0.1741
"3782",2015-03-04,"Target rate",0.75
"3783",2015-03-05,"Real return benchmark bond yield, long term",0.2334
"3784",2015-03-05,"Target rate",0.75
"3785",2015-03-06,"Real return benchmark bond yield, long term",0.3042
"3786",2015-03-06,"Target rate",0.75
"3787",2015-03-07,"Real return benchmark bond yield, long term",0
"3788",2015-03-07,"Target rate",0
"3789",2015-03-08,"Real return benchmark bond yield, long term",0
"3790",2015-03-08,"Target rate",0
"3791",2015-03-09,"Real return benchmark bond yield, long term",0.322
"3792",2015-03-09,"Target rate",0.75
"3793",2015-03-10,"Real return benchmark bond yield, long term",0.3242
"3794",2015-03-10,"Target rate",0.75
"3795",2015-03-11,"Real return benchmark bond yield, long term",0.3142
"3796",2015-03-11,"Target rate",0.75
"3797",2015-03-12,"Real return benchmark bond yield, long term",0.3042
"3798",2015-03-12,"Target rate",0.75
"3799",2015-03-13,"Real return benchmark bond yield, long term",0.2966
"3800",2015-03-13,"Target rate",0.75
"3801",2015-03-14,"Real return benchmark bond yield, long term",0
"3802",2015-03-14,"Target rate",0
"3803",2015-03-15,"Real return benchmark bond yield, long term",0
"3804",2015-03-15,"Target rate",0
"3805",2015-03-16,"Real return benchmark bond yield, long term",0.2701
"3806",2015-03-16,"Target rate",0.75
"3807",2015-03-17,"Real return benchmark bond yield, long term",0.2493
"3808",2015-03-17,"Target rate",0.75
"3809",2015-03-18,"Real return benchmark bond yield, long term",0.1621
"3810",2015-03-18,"Target rate",0.75
"3811",2015-03-19,"Real return benchmark bond yield, long term",0.1391
"3812",2015-03-19,"Target rate",0.75
"3813",2015-03-20,"Real return benchmark bond yield, long term",0.1161
"3814",2015-03-20,"Target rate",0.75
"3815",2015-03-21,"Real return benchmark bond yield, long term",0
"3816",2015-03-21,"Target rate",0
"3817",2015-03-22,"Real return benchmark bond yield, long term",0
"3818",2015-03-22,"Target rate",0
"3819",2015-03-23,"Real return benchmark bond yield, long term",0.1277
"3820",2015-03-23,"Target rate",0.75
"3821",2015-03-24,"Real return benchmark bond yield, long term",0.1111
"3822",2015-03-24,"Target rate",0.75
"3823",2015-03-25,"Real return benchmark bond yield, long term",0.1461
"3824",2015-03-25,"Target rate",0.75
"3825",2015-03-26,"Real return benchmark bond yield, long term",0.2086
"3826",2015-03-26,"Target rate",0.75
"3827",2015-03-27,"Real return benchmark bond yield, long term",0.1622
"3828",2015-03-27,"Target rate",0.75
"3829",2015-03-28,"Real return benchmark bond yield, long term",0
"3830",2015-03-28,"Target rate",0
"3831",2015-03-29,"Real return benchmark bond yield, long term",0
"3832",2015-03-29,"Target rate",0
"3833",2015-03-30,"Real return benchmark bond yield, long term",0.163
"3834",2015-03-30,"Target rate",0.75
"3835",2015-03-31,"Real return benchmark bond yield, long term",0.1921
"3836",2015-03-31,"Target rate",0.75
"3837",2015-04-01,"Real return benchmark bond yield, long term",0.1477
"3838",2015-04-01,"Target rate",0.75
"3839",2015-04-02,"Real return benchmark bond yield, long term",0.143
"3840",2015-04-02,"Target rate",0.75
"3841",2015-04-03,"Real return benchmark bond yield, long term",NA
"3842",2015-04-03,"Target rate",0.75
"3843",2015-04-04,"Real return benchmark bond yield, long term",0
"3844",2015-04-04,"Target rate",0
"3845",2015-04-05,"Real return benchmark bond yield, long term",0
"3846",2015-04-05,"Target rate",0
"3847",2015-04-06,"Real return benchmark bond yield, long term",0.1691
"3848",2015-04-06,"Target rate",0.75
"3849",2015-04-07,"Real return benchmark bond yield, long term",0.1894
"3850",2015-04-07,"Target rate",0.75
"3851",2015-04-08,"Real return benchmark bond yield, long term",0.1936
"3852",2015-04-08,"Target rate",0.75
"3853",2015-04-09,"Real return benchmark bond yield, long term",0.2362
"3854",2015-04-09,"Target rate",0.75
"3855",2015-04-10,"Real return benchmark bond yield, long term",0.2443
"3856",2015-04-10,"Target rate",0.75
"3857",2015-04-11,"Real return benchmark bond yield, long term",0
"3858",2015-04-11,"Target rate",0
"3859",2015-04-12,"Real return benchmark bond yield, long term",0
"3860",2015-04-12,"Target rate",0
"3861",2015-04-13,"Real return benchmark bond yield, long term",0.2294
"3862",2015-04-13,"Target rate",0.75
"3863",2015-04-14,"Real return benchmark bond yield, long term",0.1967
"3864",2015-04-14,"Target rate",0.75
"3865",2015-04-15,"Real return benchmark bond yield, long term",0.2008
"3866",2015-04-15,"Target rate",0.75
"3867",2015-04-16,"Real return benchmark bond yield, long term",0.234
"3868",2015-04-16,"Target rate",0.75
"3869",2015-04-17,"Real return benchmark bond yield, long term",0.2045
"3870",2015-04-17,"Target rate",0.75
"3871",2015-04-18,"Real return benchmark bond yield, long term",0
"3872",2015-04-18,"Target rate",0
"3873",2015-04-19,"Real return benchmark bond yield, long term",0
"3874",2015-04-19,"Target rate",0
"3875",2015-04-20,"Real return benchmark bond yield, long term",0.2143
"3876",2015-04-20,"Target rate",0.75
"3877",2015-04-21,"Real return benchmark bond yield, long term",0.2377
"3878",2015-04-21,"Target rate",0.75
"3879",2015-04-22,"Real return benchmark bond yield, long term",0.283
"3880",2015-04-22,"Target rate",0.75
"3881",2015-04-23,"Real return benchmark bond yield, long term",0.2726
"3882",2015-04-23,"Target rate",0.75
"3883",2015-04-24,"Real return benchmark bond yield, long term",0.2383
"3884",2015-04-24,"Target rate",0.75
"3885",2015-04-25,"Real return benchmark bond yield, long term",0
"3886",2015-04-25,"Target rate",0
"3887",2015-04-26,"Real return benchmark bond yield, long term",0
"3888",2015-04-26,"Target rate",0
"3889",2015-04-27,"Real return benchmark bond yield, long term",0.2547
"3890",2015-04-27,"Target rate",0.75
"3891",2015-04-28,"Real return benchmark bond yield, long term",0.3461
"3892",2015-04-28,"Target rate",0.75
"3893",2015-04-29,"Real return benchmark bond yield, long term",0.3819
"3894",2015-04-29,"Target rate",0.75
"3895",2015-04-30,"Real return benchmark bond yield, long term",0.3724
"3896",2015-04-30,"Target rate",0.75
"3897",2015-05-01,"Real return benchmark bond yield, long term",0.4335
"3898",2015-05-01,"Target rate",0.75
"3899",2015-05-02,"Real return benchmark bond yield, long term",0
"3900",2015-05-02,"Target rate",0
"3901",2015-05-03,"Real return benchmark bond yield, long term",0
"3902",2015-05-03,"Target rate",0
"3903",2015-05-04,"Real return benchmark bond yield, long term",0.4859
"3904",2015-05-04,"Target rate",0.75
"3905",2015-05-05,"Real return benchmark bond yield, long term",0.5076
"3906",2015-05-05,"Target rate",0.75
"3907",2015-05-06,"Real return benchmark bond yield, long term",0.5875
"3908",2015-05-06,"Target rate",0.75
"3909",2015-05-07,"Real return benchmark bond yield, long term",0.5244
"3910",2015-05-07,"Target rate",0.75
"3911",2015-05-08,"Real return benchmark bond yield, long term",0.4898
"3912",2015-05-08,"Target rate",0.75
"3913",2015-05-09,"Real return benchmark bond yield, long term",0
"3914",2015-05-09,"Target rate",0
"3915",2015-05-10,"Real return benchmark bond yield, long term",0
"3916",2015-05-10,"Target rate",0
"3917",2015-05-11,"Real return benchmark bond yield, long term",0.5963
"3918",2015-05-11,"Target rate",0.75
"3919",2015-05-12,"Real return benchmark bond yield, long term",0.5885
"3920",2015-05-12,"Target rate",0.75
"3921",2015-05-13,"Real return benchmark bond yield, long term",0.616
"3922",2015-05-13,"Target rate",0.75
"3923",2015-05-14,"Real return benchmark bond yield, long term",0.6091
"3924",2015-05-14,"Target rate",0.75
"3925",2015-05-15,"Real return benchmark bond yield, long term",0.5278
"3926",2015-05-15,"Target rate",0.75
"3927",2015-05-16,"Real return benchmark bond yield, long term",0
"3928",2015-05-16,"Target rate",0
"3929",2015-05-17,"Real return benchmark bond yield, long term",0
"3930",2015-05-17,"Target rate",0
"3931",2015-05-18,"Real return benchmark bond yield, long term",NA
"3932",2015-05-18,"Target rate",0.75
"3933",2015-05-19,"Real return benchmark bond yield, long term",0.6339
"3934",2015-05-19,"Target rate",0.75
"3935",2015-05-20,"Real return benchmark bond yield, long term",0.617
"3936",2015-05-20,"Target rate",0.75
"3937",2015-05-21,"Real return benchmark bond yield, long term",0.5714
"3938",2015-05-21,"Target rate",0.75
"3939",2015-05-22,"Real return benchmark bond yield, long term",0.61
"3940",2015-05-22,"Target rate",0.75
"3941",2015-05-23,"Real return benchmark bond yield, long term",0
"3942",2015-05-23,"Target rate",0
"3943",2015-05-24,"Real return benchmark bond yield, long term",0
"3944",2015-05-24,"Target rate",0
"3945",2015-05-25,"Real return benchmark bond yield, long term",0.6249
"3946",2015-05-25,"Target rate",0.75
"3947",2015-05-26,"Real return benchmark bond yield, long term",0.5617
"3948",2015-05-26,"Target rate",0.75
"3949",2015-05-27,"Real return benchmark bond yield, long term",0.5284
"3950",2015-05-27,"Target rate",0.75
"3951",2015-05-28,"Real return benchmark bond yield, long term",0.5382
"3952",2015-05-28,"Target rate",0.75
"3953",2015-05-29,"Real return benchmark bond yield, long term",0.5013
"3954",2015-05-29,"Target rate",0.75
"3955",2015-05-30,"Real return benchmark bond yield, long term",0
"3956",2015-05-30,"Target rate",0
"3957",2015-05-31,"Real return benchmark bond yield, long term",0
"3958",2015-05-31,"Target rate",0
"3959",2015-06-01,"Real return benchmark bond yield, long term",0.5218
"3960",2015-06-01,"Target rate",0.75
"3961",2015-06-02,"Real return benchmark bond yield, long term",0.5915
"3962",2015-06-02,"Target rate",0.75
"3963",2015-06-03,"Real return benchmark bond yield, long term",0.6504
"3964",2015-06-03,"Target rate",0.75
"3965",2015-06-04,"Real return benchmark bond yield, long term",0.6285
"3966",2015-06-04,"Target rate",0.75
"3967",2015-06-05,"Real return benchmark bond yield, long term",0.6844
"3968",2015-06-05,"Target rate",0.75
"3969",2015-06-06,"Real return benchmark bond yield, long term",0
"3970",2015-06-06,"Target rate",0
"3971",2015-06-07,"Real return benchmark bond yield, long term",0
"3972",2015-06-07,"Target rate",0
"3973",2015-06-08,"Real return benchmark bond yield, long term",0.6838
"3974",2015-06-08,"Target rate",0.75
"3975",2015-06-09,"Real return benchmark bond yield, long term",0.7218
"3976",2015-06-09,"Target rate",0.75
"3977",2015-06-10,"Real return benchmark bond yield, long term",0.7517
"3978",2015-06-10,"Target rate",0.75
"3979",2015-06-11,"Real return benchmark bond yield, long term",0.6991
"3980",2015-06-11,"Target rate",0.75
"3981",2015-06-12,"Real return benchmark bond yield, long term",0.6816
"3982",2015-06-12,"Target rate",0.75
"3983",2015-06-13,"Real return benchmark bond yield, long term",0
"3984",2015-06-13,"Target rate",0
"3985",2015-06-14,"Real return benchmark bond yield, long term",0
"3986",2015-06-14,"Target rate",0
"3987",2015-06-15,"Real return benchmark bond yield, long term",0.6497
"3988",2015-06-15,"Target rate",0.75
"3989",2015-06-16,"Real return benchmark bond yield, long term",0.6066
"3990",2015-06-16,"Target rate",0.75
"3991",2015-06-17,"Real return benchmark bond yield, long term",0.6014
"3992",2015-06-17,"Target rate",0.75
"3993",2015-06-18,"Real return benchmark bond yield, long term",0.6197
"3994",2015-06-18,"Target rate",0.75
"3995",2015-06-19,"Real return benchmark bond yield, long term",0.5634
"3996",2015-06-19,"Target rate",0.75
"3997",2015-06-20,"Real return benchmark bond yield, long term",0
"3998",2015-06-20,"Target rate",0
"3999",2015-06-21,"Real return benchmark bond yield, long term",0
"4000",2015-06-21,"Target rate",0
"4001",2015-06-22,"Real return benchmark bond yield, long term",0.6277
"4002",2015-06-22,"Target rate",0.75
"4003",2015-06-23,"Real return benchmark bond yield, long term",0.6428
"4004",2015-06-23,"Target rate",0.75
"4005",2015-06-24,"Real return benchmark bond yield, long term",0.6064
"4006",2015-06-24,"Target rate",0.75
"4007",2015-06-25,"Real return benchmark bond yield, long term",0.6431
"4008",2015-06-25,"Target rate",0.75
"4009",2015-06-26,"Real return benchmark bond yield, long term",0.675
"4010",2015-06-26,"Target rate",0.75
"4011",2015-06-27,"Real return benchmark bond yield, long term",0
