"","ref_date","geo","value"
"209",2016-05-01,"Newfoundland and Labrador",18.6
"210",2016-06-01,"Newfoundland and Labrador",17.3
"211",2016-07-01,"Newfoundland and Labrador",17.4
"212",2016-08-01,"Newfoundland and Labrador",21
"213",2016-09-01,"Newfoundland and Labrador",18.2
"214",2016-10-01,"Newfoundland and Labrador",18.9
"215",2016-11-01,"Newfoundland and Labrador",16.4
"216",2016-12-01,"Newfoundland and Labrador",15.7
"217",2017-01-01,"Newfoundland and Labrador",16.5
"218",2017-02-01,"Newfoundland and Labrador",16.4
"219",2017-03-01,"Newfoundland and Labrador",18.2
"220",2017-04-01,"Newfoundland and Labrador",21.2
"221",2017-05-01,"Newfoundland and Labrador",20.1
"222",2017-06-01,"Newfoundland and Labrador",18.8
"223",2017-07-01,"Newfoundland and Labrador",18.7
"224",2017-08-01,"Newfoundland and Labrador",15.4
"225",2017-09-01,"Newfoundland and Labrador",20.4
"226",2017-10-01,"Newfoundland and Labrador",19.1
"227",2017-11-01,"Newfoundland and Labrador",21
"228",2017-12-01,"Newfoundland and Labrador",16.2
"229",2018-01-01,"Newfoundland and Labrador",17.1
"230",2018-02-01,"Newfoundland and Labrador",15.8
"231",2018-03-01,"Newfoundland and Labrador",20
"232",2018-04-01,"Newfoundland and Labrador",17.5
"233",2018-05-01,"Newfoundland and Labrador",24.4
"234",2018-06-01,"Newfoundland and Labrador",21.3
"235",2018-07-01,"Newfoundland and Labrador",22.5
"236",2018-08-01,"Newfoundland and Labrador",23.4
"237",2018-09-01,"Newfoundland and Labrador",19.2
"238",2018-10-01,"Newfoundland and Labrador",28.8
"239",2018-11-01,"Newfoundland and Labrador",14.9
"240",2018-12-01,"Newfoundland and Labrador",17
"241",2019-01-01,"Newfoundland and Labrador",18.2
"242",2019-02-01,"Newfoundland and Labrador",15
"243",2019-03-01,"Newfoundland and Labrador",17.2
"244",2019-04-01,"Newfoundland and Labrador",20.2
"245",2019-05-01,"Newfoundland and Labrador",17
"246",2019-06-01,"Newfoundland and Labrador",18
"247",2019-07-01,"Newfoundland and Labrador",17.8
"248",2019-08-01,"Newfoundland and Labrador",16.5
"249",2019-09-01,"Newfoundland and Labrador",16.6
"250",2019-10-01,"Newfoundland and Labrador",17.7
"251",2019-11-01,"Newfoundland and Labrador",19.1
"252",2019-12-01,"Newfoundland and Labrador",16
"253",2020-01-01,"Newfoundland and Labrador",17.3
