"","ref_year","geo","new_housing_price_indexes","value","value_fd","value_pc"
"220",2019,"Saskatchewan","Land only",101.067,0.55,0.547
"221",2020,"Alberta","House only",95.392,-1.65,-1.7
"222",2020,"Alberta","Land only",100.208,-0.1,-0.1
"223",2020,"British Columbia","House only",107.233,0.625,0.586
"224",2020,"British Columbia","Land only",108.008,3.092,2.947
"225",2020,"Canada","House only",104.85,2.267,2.21
"226",2020,"Canada","Land only",106.042,1.858,1.784
"227",2020,"Manitoba","House only",108.35,2.15,2.024
"228",2020,"Manitoba","Land only",103.533,1.9,1.869
"229",2020,"New Brunswick","House only",103.642,1.917,1.884
"230",2020,"New Brunswick","Land only",101.6,1.35,1.347
"231",2020,"Newfoundland and Labrador","House only",97.342,0.825,0.855
"232",2020,"Newfoundland and Labrador","Land only",99.867,-0.117,-0.117
"233",2020,"Nova Scotia","House only",107.308,4.308,4.183
"234",2020,"Nova Scotia","Land only",102.092,1.975,1.973
"235",2020,"Ontario","House only",107.383,3.592,3.46
"236",2020,"Ontario","Land only",108.6,1.592,1.487
"237",2020,"Prince Edward Island","House only",103.958,2.758,2.726
"238",2020,"Prince Edward Island","Land only",100.783,0.583,0.582
"239",2020,"Quebec","House only",114.033,7.475,7.015
"240",2020,"Quebec","Land only",106.433,3.75,3.652
"241",2020,"Saskatchewan","House only",92.942,-2,-2.107
"242",2020,"Saskatchewan","Land only",100.175,-0.892,-0.882
